매달_정액_매수,매달_정액_매수,매달_정액_매수,매달_정액_매수,정액매수_수익_매도,정액매수_수익_매도,정액매수_수익_매도,정액매수_수익_매도,정액매수_수익_매도,정액매수_보유,정액매수_보유,정액매수_보유,정액매수_보유
date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,보유종목수,date,remaining_capital,shares_held,total_value
2019-01-02,9968766.42,1,9999538.42,2019-01-02,9000525.44,32,9985229.44,1,2019-01-02,9000525.44,32,9985229.44
2019-01-03,9937800.8,2,9998816.8,2019-01-03,8009625.6,64,9962137.6,2,2019-01-03,8009625.6,64,9962137.6
2019-01-04,9906744.845,3,9998535.845,2019-01-04,7015835.04,96,9953147.04,3,2019-01-04,7015835.04,96,9953147.04
2019-01-07,9874684.040000001,4,10001032.040000001,2019-01-07,6021950.085,127,10033499.085,4,2019-01-07,6021950.085,127,10033499.085
2019-01-08,9842161.41,5,10002371.41,2019-01-08,5046271.1850000005,157,10076865.185,5,2019-01-08,5046271.1850000005,157,10076865.185
2019-01-09,9809278.455,6,10003660.455,2019-01-09,4059782.5350000006,187,10118021.535,6,2019-01-09,4059782.5350000006,187,10118021.535
2019-01-10,9776711.165000001,7,10001313.165000001,2019-01-10,3082763.835000001,217,10045425.835,7,2019-01-10,3082763.835000001,217,10045425.835
2019-01-11,9743996.700000001,8,10001844.700000001,2019-01-11,2101329.8850000007,247,10062386.885000002,8,2019-01-11,2101329.8850000007,247,10062386.885000002
2019-01-14,9711474.07,9,9999852.07,2019-01-14,1125650.9850000008,277,10001284.985000001,9,2019-01-14,1125650.9850000008,277,10001284.985000001
2019-01-15,9678671.3,10,10001851.3,2019-01-15,141567.88500000094,307,10063193.885000002,10,2019-01-15,141567.88500000094,307,10063193.885000002
2019-01-16,9645514.295,11,10004851.295,2019-01-16,141567.88500000094,307,10170336.885000002,10,2019-01-16,141567.88500000094,307,10170336.885000002
2019-01-17,9612396.875,12,10003932.875,2019-01-17,141567.88500000094,307,10158363.885000002,10,2019-01-17,141567.88500000094,307,10158363.885000002
2019-01-18,9578753.685,13,10009651.685,2019-01-18,141567.88500000094,307,10317389.885000002,10,2019-01-18,141567.88500000094,307,10317389.885000002
2019-01-21,9544814.115,14,10012946.115,2019-01-21,141567.88500000094,307,10407033.885000002,10,2019-01-21,141567.88500000094,307,10407033.885000002
2019-01-22,9511136.415000001,15,10008836.415000001,2019-01-22,141567.88500000094,307,10327827.885000002,10,2019-01-22,141567.88500000094,307,10327827.885000002
2019-01-23,9477806.860000001,16,10003198.860000001,2019-01-23,141567.88500000094,307,10222526.885000002,10,2019-01-23,141567.88500000094,307,10222526.885000002
2019-01-24,9444284.455000002,17,10005743.455000002,2019-01-24,141567.88500000094,307,10280856.885000002,10,2019-01-24,141567.88500000094,307,10280856.885000002
2019-01-25,9410502.210000003,18,10009596.210000003,2019-01-25,141567.88500000094,307,10359448.885000002,10,2019-01-25,141567.88500000094,307,10359448.885000002
2019-01-28,9376894.545000004,19,10006003.545000004,2019-01-28,141567.88500000094,307,10306644.885000002,10,2019-01-28,141567.88500000094,307,10306644.885000002
2019-01-29,9343807.575000003,20,9995767.575000003,2019-01-29,141567.88500000094,307,10149153.885000002,10,2019-01-29,141567.88500000094,307,10149153.885000002
2019-01-30,9310630.270000003,21,9997057.270000003,2019-01-30,141567.88500000094,307,10176476.885000002,10,2019-01-30,141567.88500000094,307,10176476.885000002
2019-01-31,9276863.250000004,22,10008759.250000004,2019-01-31,141567.88500000094,307,10354843.885000002,10,2019-01-31,141567.88500000094,307,10354843.885000002
2019-02-01,9242643.540000003,23,10018065.540000003,2019-02-01,1943244.0450000009,243,10135746.045000002,8,2019-02-01,141567.88500000094,307,10491765.885000002
2019-02-07,9207755.960000003,24,10032683.960000003,2019-02-07,1884811.645000001,239,10099719.645000001,8,2019-02-07,141567.88500000094,307,10693771.885000002
2019-02-08,9173536.250000002,25,10016386.250000002,2019-02-08,892440.0550000011,268,9927792.055000002,9,2019-02-08,141567.88500000094,307,10491765.885000002
2019-02-11,9138981.590000002,26,10024125.590000002,2019-02-11,892440.0550000011,268,10016232.055000002,9,2019-02-11,141567.88500000094,307,10593075.885000002
2019-02-12,9104184.345000003,27,10029825.345000003,2019-02-12,892440.0550000011,268,10080284.055000002,9,2019-02-12,141567.88500000094,307,10666448.885000002
2019-02-13,9069038.955000002,28,10038566.955000002,2019-02-13,892440.0550000011,268,10172208.055000002,9,2019-02-13,141567.88500000094,307,10771749.885000002
2019-02-14,9033828.605000002,29,10039838.605000002,2019-02-14,892440.0550000011,268,10189360.055000002,9,2019-02-14,141567.88500000094,307,10791397.885000002
2019-02-15,8998832.420000002,30,10033202.420000002,2019-02-15,892440.0550000011,268,10132812.055000002,9,2019-02-15,141567.88500000094,307,10726620.885000002
