133690_BuyAndHold,133690_BuyAndHold,133690_BuyAndHold,133690_BuyAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_MonthlyDCA,133690_MonthlyDCA,133690_MonthlyDCA,133690_MonthlyDCA,379800_BuyAndHold,379800_BuyAndHold,379800_BuyAndHold,379800_BuyAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_MonthlyDCA,379800_MonthlyDCA,379800_MonthlyDCA,379800_MonthlyDCA
date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,holding_count,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,holding_count,date,remaining_capital,shares_held,total_value
2019-01-02,5254.4000000003725,320,9852294.4,2019-01-02,9000525.44,32,9985229.44,2019-01-02,9000525.44,32,9985229.44,1,2019-01-02,9968766.42,1,9999538.42,2021-04-09,9491.01000000164,979.0,9852357.010000002,2021-04-09,9010133.43,97.0,9985371.43,2021-04-09,9010133.43,97.0,9985371.43,1.0,2021-04-09,9989795.19,1.0,9999849.19
2019-01-03,5254.4000000003725,320,9767814.4,2019-01-03,9000525.44,32,9976781.44,2019-01-03,9000525.44,32,9976781.44,1,2019-01-03,9968766.42,1,9999274.42,2021-04-12,9491.01000000164,979.0,9920887.010000002,2021-04-12,9010133.43,97.0,9992161.43,2021-04-12,9010133.43,97.0,9992161.43,1.0,2021-04-12,9989795.19,1.0,9999919.19
2019-01-04,5254.4000000003725,320,9796294.4,2019-01-04,9000525.44,32,9979629.44,2019-01-04,9000525.44,32,9979629.44,1,2019-01-04,9968766.42,1,9999363.42,2021-04-13,9491.01000000164,979.0,9955152.010000002,2021-04-13,9010133.43,97.0,9995556.43,2021-04-13,9010133.43,97.0,9995556.43,1.0,2021-04-13,9989795.19,1.0,9999954.19
2019-01-07,5254.4000000003725,320,10113094.4,2019-01-07,9000525.44,32,10011309.44,2019-01-07,9000525.44,32,10011309.44,1,2019-01-07,9968766.42,1,10000353.42,2021-04-14,9491.01000000164,979.0,9911097.010000002,2021-04-14,9010133.43,97.0,9991191.43,2021-04-14,9010133.43,97.0,9991191.43,1.0,2021-04-14,9989795.19,1.0,9999909.19
2019-01-08,5254.4000000003725,320,10258694.4,2019-01-08,9000525.44,32,10025869.44,2019-01-08,9000525.44,32,10025869.44,1,2019-01-08,9968766.42,1,10000808.42,2021-04-15,9491.01000000164,979.0,9896412.010000002,2021-04-15,9010133.43,97.0,9989736.43,2021-04-15,9010133.43,97.0,9989736.43,1.0,2021-04-15,9989795.19,1.0,9999894.19
2019-01-09,5254.4000000003725,320,10372294.4,2019-01-09,9000525.44,32,10037229.44,2019-01-09,9000525.44,32,10037229.44,1,2019-01-09,9968766.42,1,10001163.42,2021-04-16,9491.01000000164,979.0,9955152.010000002,2021-04-16,9010133.43,97.0,9995556.43,2021-04-16,9010133.43,97.0,9995556.43,1.0,2021-04-16,9989795.19,1.0,9999954.19
2019-01-10,5254.4000000003725,320,10272774.4,2019-01-10,9000525.44,32,10027277.44,2019-01-10,9000525.44,32,10027277.44,1,2019-01-10,9968766.42,1,10000852.42,2021-04-19,9491.01000000164,979.0,10008997.010000002,2021-04-19,9010133.43,97.0,10000891.43,2021-04-19,9010133.43,97.0,10000891.43,1.0,2021-04-19,9989795.19,1.0,10000009.19
2019-01-11,5254.4000000003725,320,10319174.4,2019-01-11,9000525.44,32,10031917.44,2019-01-11,9000525.44,32,10031917.44,1,2019-01-11,9968766.42,1,10000997.42,2021-04-20,9491.01000000164,979.0,9945362.010000002,2021-04-20,9010133.43,97.0,9994586.43,2021-04-20,9010133.43,97.0,9994586.43,1.0,2021-04-20,9989795.19,1.0,9999944.19
2019-01-14,5254.4000000003725,320,10258694.4,2019-01-14,9000525.44,32,10025869.44,2019-01-14,9000525.44,32,10025869.44,1,2019-01-14,9968766.42,1,10000808.42,2021-04-21,9491.01000000164,979.0,9896412.010000002,2021-04-21,9010133.43,97.0,9989736.43,2021-04-21,9010133.43,97.0,9989736.43,1.0,2021-04-21,9989795.19,1.0,9999894.19
2019-01-15,5254.4000000003725,320,10347014.4,2019-01-15,9000525.44,32,10034701.44,2019-01-15,9000525.44,32,10034701.44,1,2019-01-15,9968766.42,1,10001084.42,2021-04-22,9491.01000000164,979.0,9994312.010000002,2021-04-22,9010133.43,97.0,9999436.43,2021-04-22,9010133.43,97.0,9999436.43,1.0,2021-04-22,9989795.19,1.0,9999994.19
2019-01-16,5254.4000000003725,320,10458694.4,2019-01-16,9000525.44,32,10045869.44,2019-01-16,9000525.44,32,10045869.44,1,2019-01-16,9968766.42,1,10001433.42,2021-04-23,9491.01000000164,979.0,9911097.010000002,2021-04-23,9010133.43,97.0,9991191.43,2021-04-23,9010133.43,97.0,9991191.43,1.0,2021-04-23,9989795.19,1.0,9999909.19
2019-01-17,5254.4000000003725,320,10446214.4,2019-01-17,9000525.44,32,10044621.44,2019-01-17,9000525.44,32,10044621.44,1,2019-01-17,9968766.42,1,10001394.42,2021-04-26,9491.01000000164,979.0,9974732.010000002,2021-04-26,9010133.43,97.0,9997496.43,2021-04-26,9010133.43,97.0,9997496.43,1.0,2021-04-26,9989795.19,1.0,9999974.19
2019-01-18,5254.4000000003725,320,10611974.4,2019-01-18,9000525.44,32,10061197.44,2019-01-18,9000525.44,32,10061197.44,1,2019-01-18,9968766.42,1,10001912.42,2021-04-27,9491.01000000164,979.0,9979627.010000002,2021-04-27,9010133.43,97.0,9997981.43,2021-04-27,9010133.43,97.0,9997981.43,1.0,2021-04-27,9989795.19,1.0,9999979.19
2019-01-21,5254.4000000003725,320,10705414.4,2019-01-21,9000525.44,32,10070541.44,2019-01-21,9000525.44,32,10070541.44,1,2019-01-21,9968766.42,1,10002204.42,2021-04-28,9491.01000000164,979.0,9989417.010000002,2021-04-28,9010133.43,97.0,9998951.43,2021-04-28,9010133.43,97.0,9998951.43,1.0,2021-04-28,9989795.19,1.0,9999989.19
2019-01-22,5254.4000000003725,320,10622854.4,2019-01-22,9000525.44,32,10062285.44,2019-01-22,9000525.44,32,10062285.44,1,2019-01-22,9968766.42,1,10001946.42,2021-04-29,9491.01000000164,979.0,9989417.010000002,2021-04-29,9010133.43,97.0,9998951.43,2021-04-29,9010133.43,97.0,9998951.43,1.0,2021-04-29,9989795.19,1.0,9999989.19
2019-01-23,5254.4000000003725,320,10513094.4,2019-01-23,9000525.44,32,10051309.44,2019-01-23,9000525.44,32,10051309.44,1,2019-01-23,9968766.42,1,10001603.42,2021-04-30,9491.01000000164,979.0,10008997.010000002,2021-04-30,9010133.43,97.0,10000891.43,2021-04-30,9010133.43,97.0,10000891.43,1.0,2021-04-30,9989795.19,1.0,10000009.19
2019-01-24,5254.4000000003725,320,10573894.4,2019-01-24,9000525.44,32,10057389.44,2019-01-24,9000525.44,32,10057389.44,1,2019-01-24,9968766.42,1,10001793.42,2021-05-03,9491.01000000164,979.0,10086338.010000002,2021-05-03,8017630.904999999,192.0,9993886.905,2021-05-03,8017630.904999999,192.0,9993886.905,2.0,2021-05-03,9979347.795,2.0,9999933.795
2019-01-25,5254.4000000003725,320,10655814.4,2019-01-25,9000525.44,32,10065581.44,2019-01-25,9000525.44,32,10065581.44,1,2019-01-25,9968766.42,1,10002049.42,2021-05-04,9491.01000000164,979.0,10061863.010000002,2021-05-04,8017630.904999999,192.0,9989086.905,2021-05-04,8017630.904999999,192.0,9989086.905,2.0,2021-05-04,9979347.795,2.0,9999883.795
2019-01-28,5254.4000000003725,320,10600774.4,2019-01-28,9000525.44,32,10060077.44,2019-01-28,9000525.44,32,10060077.44,1,2019-01-28,9968766.42,1,10001877.42,2021-05-06,9491.01000000164,979.0,10061863.010000002,2021-05-06,8017630.904999999,192.0,9989086.905,2021-05-06,8017630.904999999,192.0,9989086.905,2.0,2021-05-06,9979347.795,2.0,9999883.795
2019-01-29,5254.4000000003725,320,10436614.4,2019-01-29,9000525.44,32,10043661.44,2019-01-29,9000525.44,32,10043661.44,1,2019-01-29,9968766.42,1,10001364.42,2021-05-07,9491.01000000164,979.0,10110813.010000002,2021-05-07,8017630.904999999,192.0,9998686.905,2021-05-07,8017630.904999999,192.0,9998686.905,2.0,2021-05-07,9979347.795,2.0,9999983.795
2019-01-30,5254.4000000003725,320,10465094.4,2019-01-30,9000525.44,32,10046509.44,2019-01-30,9000525.44,32,10046509.44,1,2019-01-30,9968766.42,1,10001453.42,2021-05-10,9491.01000000164,979.0,10125498.010000002,2021-05-10,8017630.904999999,192.0,10001566.905,2021-05-10,8017630.904999999,192.0,10001566.905,2.0,2021-05-10,9979347.795,2.0,10000013.795
2019-01-31,5254.4000000003725,320,10651014.4,2019-01-31,9000525.44,32,10065101.44,2019-01-31,9000525.44,32,10065101.44,1,2019-01-31,9968766.42,1,10002034.42,2021-05-11,9491.01000000164,979.0,10017808.010000002,2021-05-11,8017630.904999999,192.0,9980446.905,2021-05-11,8017630.904999999,192.0,9980446.905,2.0,2021-05-11,9979347.795,2.0,9999793.795
2019-02-01,5254.4000000003725,320,10793734.4,2019-02-01,8008153.85,61,10064707.85,2019-02-01,8008153.85,61,10064707.85,2,2019-02-01,9934546.709999999,2,10001974.709999999,2021-05-12,9491.01000000164,979.0,9984522.010000002,2021-05-12,8017630.904999999,192.0,9973918.905,2021-05-12,8017630.904999999,192.0,9973918.905,2.0,2021-05-12,9979347.795,2.0,9999725.795
2019-02-07,5254.4000000003725,320,11004294.4,2019-02-07,8008153.85,61,10104845.85,2019-02-07,8926573.69,29,9923361.69,1,2019-02-07,9934546.709999999,2,10003290.709999999,2021-05-13,9491.01000000164,979.0,9867042.010000002,2021-05-13,8017630.904999999,192.0,9950878.905,2021-05-13,8017630.904999999,192.0,9950878.905,2.0,2021-05-13,9979347.795,2.0,9999485.795
2019-02-08,5254.4000000003725,320,10793734.4,2019-02-08,8008153.85,61,10064707.85,2019-02-08,8926573.69,29,9904279.69,1,2019-02-08,9934546.709999999,2,10001974.709999999,2021-05-14,9491.01000000164,979.0,9999207.010000002,2021-05-14,8017630.904999999,192.0,9976798.905,2021-05-14,8017630.904999999,192.0,9976798.905,2.0,2021-05-14,9979347.795,2.0,9999755.795
